,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0,0001_01,Europa,False,B/0/P,TRAPPIST-1e,39,False,0,0,0,0,0,Maham Ofracculy,False
1,0002_01,Earth,False,F/0/S,TRAPPIST-1e,24,False,109,9,25,549,44,Juanna Vines,True
2,0003_01,Europa,False,A/0/S,TRAPPIST-1e,58,True,43,3576,0,6715,49,Altark Susent,False
3,0003_02,Europa,False,A/0/S,TRAPPIST-1e,33,False,0,1283,371,3329,193,Solam Susent,False
4,0004_01,Earth,False,F/1/S,TRAPPIST-1e,16,False,303,70,151,565,2,Willy Santantines,True
5,0005_01,Earth,False,F/0/P,PSO J318.5-22,44,False,0,483,0,291,0,Sandie Hinetthews,True
6,0006_01,Earth,False,F/2/S,TRAPPIST-1e,26,False,42,1539,3,0,0,Billex Jacostaffey,True
7,0006_02,Earth,True,G/0/S,TRAPPIST-1e,28,False,0,0,0,0,,Candra Jacostaffey,True
8,0007_01,Earth,False,F/3/S,TRAPPIST-1e,35,False,0,785,17,216,0,Andona Beston,True
9,0008_01,Europa,True,B/1/P,55 Cancri e,14,False,0,0,0,0,0,Erraiam Flatic,True
10,0008_02,Europa,True,B/1/P,TRAPPIST-1e,34,False,0,0,,0,0,Altardr Flatic,True
11,0008_03,Europa,False,B/1/P,55 Cancri e,45,False,39,7295,589,110,124,Wezena Flatic,True
12,0009_01,Mars,False,F/1/P,TRAPPIST-1e,32,False,73,0,1123,0,113,Berers Barne,True
13,0010_01,Earth,False,G/1/S,TRAPPIST-1e,48,False,719,1,65,0,24,Reney Baketton,False
14,0011_01,Earth,False,F/2/P,TRAPPIST-1e,28,False,8,974,12,2,7,Elle Bertsontry,True
15,0012_01,Earth,False,,TRAPPIST-1e,31,False,32,0,876,0,0,Justie Pooles,False
16,0014_01,Mars,False,F/3/P,55 Cancri e,27,False,1286,122,,0,0,Flats Eccle,False
17,0015_01,Earth,False,F/4/P,55 Cancri e,24,False,0,1,0,0,637,Carry Hughriend,False
18,0016_01,Mars,True,F/5/P,TRAPPIST-1e,45,False,0,0,0,0,0,Alus Upead,True
19,0017_01,Earth,False,G/0/P,TRAPPIST-1e,0,False,0,0,0,0,0,Lyde Brighttt,True
20,0017_02,Earth,False,F/6/P,55 Cancri e,14,False,412,0,1,0,679,Philda Brighttt,False
21,0020_01,Earth,True,E/0/S,TRAPPIST-1e,1,False,0,0,0,0,0,Almary Brantuarez,False
22,0020_02,Earth,True,E/0/S,55 Cancri e,49,False,0,0,0,0,0,Glendy Brantuarez,False
23,0020_03,Earth,True,E/0/S,55 Cancri e,29,False,0,0,,0,0,Mollen Mcfaddennon,False
24,0020_04,Earth,False,E/0/S,TRAPPIST-1e,10,False,0,0,0,0,0,Breney Jacostanley,True
25,0020_05,Earth,True,E/0/S,PSO J318.5-22,1,False,,0,0,0,0,Mael Brantuarez,False
26,0020_06,Earth,False,E/0/S,TRAPPIST-1e,7,False,0,0,0,0,0,Terta Mcfaddennon,False
27,0022_01,Mars,False,D/0/P,TRAPPIST-1e,21,False,980,2,69,0,0,,False
28,0024_01,Europa,True,C/2/S,TRAPPIST-1e,62,False,0,0,,0,0,Penton Fullided,True
29,0025_01,Earth,False,F/6/S,TRAPPIST-1e,15,False,0,225,0,998,0,Karard Brookenson,False
30,0026_01,Europa,False,C/0/P,55 Cancri e,34,False,22,6073,0,1438,328,Anyoni Unconary,False
31,0028_01,Mars,False,F/8/P,TRAPPIST-1e,43,False,1125,0,136,48,0,Ceros Mare,False
32,0030_01,Earth,False,G/4/S,TRAPPIST-1e,32,False,0,850,81,437,453,Ginia Morsentley,False
33,0031_01,Mars,False,F/9/P,TRAPPIST-1e,47,False,214,0,1411,0,1229,Coobix Datie,True
34,0031_02,Mars,False,F/9/P,TRAPPIST-1e,2,False,0,0,0,0,0,Cinets Datie,True
35,0031_03,Mars,False,F/9/P,TRAPPIST-1e,20,False,,0,1750,990,0,Dontch Datie,True
36,0034_01,Europa,True,D/1/S,55 Cancri e,28,False,0,0,0,0,0,Ziba Oingwhedly,True
37,0035_01,Mars,False,D/1/P,55 Cancri e,23,False,784,964,0,951,0,Luse Butte,False
38,0036_01,Earth,False,F/8/S,55 Cancri e,15,,0,492,48,20,401,Marina Leodger,False
39,0038_01,Earth,False,F/10/S,55 Cancri e,20,False,554,195,0,2606,0,Loise Wheelez,False
40,0039_01,Earth,True,G/1/P,55 Cancri e,30,False,0,0,,0,0,Jorgie Batthewitt,False
41,0041_01,Earth,True,G/2/P,TRAPPIST-1e,17,False,0,0,0,0,0,Margia Moodsey,True
42,0043_01,Europa,False,B/3/P,TRAPPIST-1e,45,False,0,164,45,2511,855,Ankalik Cylistrand,False
43,0044_01,Earth,True,G/3/P,TRAPPIST-1e,55,False,0,0,0,0,0,Jodye Coopelandez,False
44,0044_02,Earth,True,G/3/P,55 Cancri e,4,False,0,0,0,0,0,Kayne Coopelandez,True
45,0044_03,Earth,True,G/3/P,PSO J318.5-22,21,False,0,0,0,0,0,Cassa Coopelandez,True
46,0045_01,Mars,False,F/10/P,TRAPPIST-1e,21,False,970,0,180,0,64,Zelowl Chmad,False
47,0045_02,Mars,True,F/10/P,,19,False,0,0,0,0,0,Mass Chmad,True
48,0050_01,Earth,False,E/1/S,55 Cancri e,35,False,790,0,0,,0,Sony Lancis,False
49,0051_01,Earth,False,E/2/S,TRAPPIST-1e,56,False,0,112,0,1379,127,Vivia Johnshines,False
50,0052_01,Earth,False,G/6/S,TRAPPIST-1e,,False,4,0,2,4683,0,Elaney Hubbarton,False
51,0053_01,Earth,False,F/11/S,TRAPPIST-1e,25,False,0,0,1938,0,1,Elson Hickerson,True
52,0056_01,Europa,False,A/1/S,TRAPPIST-1e,2,False,0,0,0,0,0,Okulas Tractive,True
53,0056_02,Europa,True,A/1/S,TRAPPIST-1e,38,False,0,0,0,0,0,Instab Tractive,True
54,0056_03,Europa,False,A/1/S,TRAPPIST-1e,27,False,279,605,3374,286,3,Zinoces Tractive,True
55,0058_01,Earth,True,G/7/S,PSO J318.5-22,36,False,0,0,0,0,0,Warry Ayalazquez,False
56,0061_01,Earth,False,F/12/S,TRAPPIST-1e,22,False,45,1096,148,1377,1,Shanya Salez,False
57,0062_01,Earth,False,F/13/S,TRAPPIST-1e,62,False,0,592,0,17,25,Sterry Greeves,False
58,0064_01,Mars,True,F/14/S,TRAPPIST-1e,15,False,0,0,0,0,0,,True
59,0064_02,,True,E/3/S,TRAPPIST-1e,33,False,0,0,,0,0,Colatz Keen,True
60,0066_01,Earth,False,G/6/P,TRAPPIST-1e,62,False,1,153,197,0,460,Diandy Pecketton,False
61,0067_01,Earth,True,G/10/S,PSO J318.5-22,0,False,0,0,0,0,0,Ninaha Leeves,True
